"","year","sub_storyline","count","fraction","year_sum"
"1",2024,"(D) Decentralization allows local govt to set rules for protection",6,0.130434782608696,46
"2",2024,"(C) Decentralization loses coherence for national issues",5,0.108695652173913,46
"3",2024,"(CP) Process involves citizens more",3,0.0652173913043478,46
"4",2024,"(D) Decentralization provides local govt development opportunities",3,0.0652173913043478,46
"5",2023,"(CP) Process involves citizens more",4,0.0634920634920635,63
"6",2023,"(D) Decentralization allows local govt to set rules for protection",4,0.0634920634920635,63
"7",2023,"Uncertainties from EPA causes risks to actors",4,0.0634920634920635,63
"8",2022,"(D) Decentralization allows local govt to set rules for protection",9,0.102272727272727,88
"9",2022,"(CP) Process involves citizens more",6,0.0681818181818182,88
"10",2022,"(Postpone) More time to work on DSO",5,0.0568181818181818,88
"11",2021,"(D) Decentralization allows local govt to set rules for protection",8,0.0833333333333333,96
"12",2021,"(Not CP) EPA favours minority",7,0.0729166666666667,96
"13",2021,"Municipalities have funding gaps for implementation",6,0.0625,96
"14",2021,"System change delays progress",6,0.0625,96
"15",2020,"(D) Decentralization provides local govt development opportunities",3,0.0857142857142857,35
"16",2020,"(Postpone) Introduction now is risky",3,0.0857142857142857,35
"17",2020,"(C) Decentralization loses coherence for national issues",2,0.0571428571428571,35
"18",2020,"(CP) Process involves citizens more",2,0.0571428571428571,35
"19",2020,"(Not CP) EPA favours minority",2,0.0571428571428571,35
"20",2020,"Implementation is difficult because of internal tensions",2,0.0571428571428571,35
"21",2020,"New noise standards does not deal with aviation",2,0.0571428571428571,35
"22",2020,"New noise standards hinder housing construction",2,0.0571428571428571,35
"23",2019,"(C) Decentralization loses coherence for national issues",4,0.142857142857143,28
"24",2019,"(Not CP) EPA favours minority",2,0.0714285714285714,28
"25",2019,"Implementing decentralization is difficult",2,0.0714285714285714,28
"26",2019,"Intention is good but effectiveness depends on implementation",2,0.0714285714285714,28
"27",2018,"(D) Decentralization provides local govt development opportunities",3,0.142857142857143,21
"28",2018,"(C) Decentralization loses coherence for national issues",2,0.0952380952380952,21
"29",2018,"(CP) Considers citizen interest better",1,0.0476190476190476,21
"30",2018,"(CP) Process involves citizens more",1,0.0476190476190476,21
"31",2018,"(D) Decentralization allows local govt to set rules for protection",1,0.0476190476190476,21
"32",2018,"(Int) Instruments forces long-term planning",1,0.0476190476190476,21
"33",2018,"(Int) Instruments provides an integrated planning framework",1,0.0476190476190476,21
"34",2018,"(Not CP) Difficult to get participation",1,0.0476190476190476,21
"35",2018,"(Not CP) EPA favours minority",1,0.0476190476190476,21
"36",2018,"(Not CP) Implementation was lacking",1,0.0476190476190476,21
"37",2018,"(Simple) Rule bundling makes initation process simpler",1,0.0476190476190476,21
"38",2018,"(Simple) Rule bundling makes rules clearer",1,0.0476190476190476,21
"39",2018,"EPA has potential but implementation is difficult",1,0.0476190476190476,21
"40",2018,"EV can focus more on the immediate environment",1,0.0476190476190476,21
"41",2018,"Implementing EPA is unpopular but necessary",1,0.0476190476190476,21
"42",2018,"Municipalities are understaffed for implementation",1,0.0476190476190476,21
"43",2018,"Municipalities can do more for citizen participation",1,0.0476190476190476,21
"44",2018,"Municipalities take on too many new tasks",1,0.0476190476190476,21
"45",2017,"(D) Decentralization provides local govt development opportunities",4,0.285714285714286,14
"46",2017,"(CP) Considers citizen interest better",2,0.142857142857143,14
"47",2017,"New municipal plans affects my interest negatively",2,0.142857142857143,14
"48",2016,"(Not CP) EPA favours minority",4,0.210526315789474,19
"49",2016,"(D) Decentralization allows local govt to set rules for protection",3,0.157894736842105,19
"50",2016,"(Not CP) Implementation was lacking",2,0.105263157894737,19
"51",2015,"(D) Decentralization allows local govt to set rules for protection",1,1,1
"52",2014,"(C) Decentralization threatens roles of provinces",1,1,1
"53",2013,"Simplification reduced unnecessary bureaucracy",2,0.4,5
"54",2013,"(D) Decentralization still allows for adequate environmental protection",1,0.2,5
"55",2013,"(Simple) Rule bundling makes initation process simpler",1,0.2,5
"56",2013,"(Simple) Rule bundling makes rules clearer",1,0.2,5
"57",2012,"(D) Decentralization provides local govt development opportunities",1,0.5,2
"58",2012,"(Simple) Rule bundling makes initation process simpler",1,0.5,2
"59",2011,"(D) Decentralization allows municipalities to weigh interests better",1,0.333333333333333,3
"60",2011,"(Simple) Rule bundling makes initation process simpler",1,0.333333333333333,3
"61",2011,"(Simple) Rule bundling makes rules clearer",1,0.333333333333333,3
